propertyId,propertyItemId,propertyParcelNumber,propertyAddress,propertyFaceValue,currentBidStatus,currentBidAmount,currentBidRequired,bid,bidType
560914e4d4c68c50bf9e1407,010163, 39-113-19-001,5609 BRENTWOOD ST,$639.81,Bids,689,690,,PTW
560914e4d4c68c50bf9e1408,010219, 39-151-02-016,5535 CODY CT,"$1,814.55",Bids,1952,1953,,PTW
560914e4d4c68c50bf9e1409,010528, 39-112-02-009,7705 W 62ND PL,"$1,624.71",Bids,1748,1749,,PTW
560914e4d4c68c50bf9e140b,011050, 39-122-16-004,6133 MARSHALL ST,$368.12,Bids,394.89,395.89,,PTW
560914e4d4c68c50bf9e140c,011136, 39-141-01-007,6875 RENO DR,"$1,095.94",Bids,1179,1180,,PTW
560914e4d4c68c50bf9e140d,011331, 39-101-14-019,6040 DUDLEY ST,$885.80,Bids,956,957,,PTW
560914e4d4c68c50bf9e140e,011606, 39-102-05-004,6372 IRIS CT,$468.21,Bids,501.99,502.99,,PTW
560914e4d4c68c50bf9e140f,012051, 41-354-01-038,26189 STATE HWY 74 ,"$3,073.63",Bids,3305,3306,,PTW
560914e4d4c68c50bf9e1410,012092, 41-354-11-010,26160 KINGSBURY RD,"$2,153.92",Bids,2316,2317,,PTW
560914e5d4c68c50bf9e17af,012209, 51-023-00-008,0 VACANT LAND ,$405.47,Bids,405.47,406.47,,PTW
560914e4d4c68c50bf9e1411,012228, 41-354-04-010,26295 COLUMBINE TRL,"$1,190.78",Bids,1311,1312,,PTW
560914e4d4c68c50bf9e1412,012262, 41-363-05-009,3265 PINEY RIDGE RD,$676.39,Bids,728,729,,PTW
560914e4d4c68c50bf9e1413,012279, 41-354-01-029,26295 HILL TOP DR,"$22,726.96",Bids,24432,24433,,PTW
560914e4d4c68c50bf9e1414,012353, 51-041-02-011,29934 PAINT BRUSH DR,"$3,040.59",Bids,3270,3271,,PTW
560914e4d4c68c50bf9e1415,012376, 41-353-02-035,26479 STATE HWY 74 ,"$2,391.57",Bids,2559.98,2560.98,,PTW
560914e4d4c68c50bf9e1416,012419, 51-041-01-019,29823 PAINT BRUSH DR,"$2,150.76",Bids,2313,2314,,PTW
560914e4d4c68c50bf9e1417,012438, 41-363-07-004,3258 PINEY RIDGE RD,"$1,534.09",Bids,1650,1651,,PTW
560914e5d4c68c50bf9e17b0,012517, 59-261-00-001,0 VACANT LAND ,"$21,452.47",Bids,22955.15,22956.15,,PTW
560914e4d4c68c50bf9e1418,012615, 59-261-01-048,6901 S PIERCE ST,"$108,922.27",Bids,116547.83,116548.83,,PTW
560914e4d4c68c50bf9e1419,012709, 59-031-02-001,9090 W ITHICA AVE,"$2,288.31",Bids,2461,2462,,PTW
560914e4d4c68c50bf9e141b,013225, 59-251-13-001,5690 W ROWLAND AVE,"$2,771.14",Bids,2980,2981,,PTW
560914e4d4c68c50bf9e141e,014117, 49-233-12-007,1632 S YUKON ST,$770.82,Bids,830,831,,PTW
560914e4d4c68c50bf9e141f,014606, 49-233-03-015,8210 W FLORIDA AVE,"$1,458.99",Bids,1569,1570,,PTW
560914e4d4c68c50bf9e1420,014674, 49-233-07-017,1631 S ALLISON ST,$74.97,Bids,90.97,91.97,,PTW
560914e4d4c68c50bf9e1421,014789, 49-242-24-008,1250 S PIERCE ST,"$1,281.54",Bids,1379,1380,,PTW
560914e4d4c68c50bf9e1422,015184, 49-234-10-001,7130 W MEXICO DR,$739.56,Bids,794.33,795.33,,PTW
560914e4d4c68c50bf9e1423,015272, 49-224-21-008,1746 S CAPE ST,"$1,842.66",Bids,1982,1983,,PTW
560914e5d4c68c50bf9e17b1,015632, 49-253-00-013,0 VACANT LAND ,"$2,399.54",Bids,2581,2582,,PTW
560914e4d4c68c50bf9e1424,015655, 49-354-00-014,3300 S WADSWORTH BLVD,"$1,642.60",Bids,1767,1768,,PTW
560914e4d4c68c50bf9e1425,015736, 49-273-00-035,9645 MORRISON RD,"$1,122.75",Bids,1208,1209,,PTW
560914e5d4c68c50bf9e18e6,015752, 49-273-00-036,0 VACANT LAND ,$38.44,Bids,38.44,39.44,,PTW
560914e5d4c68c50bf9e18e7,015770, 49-273-00-034,0 VACANT LAND ,$38.44,Bids,38.44,39.44,,PTW
560914e4d4c68c50bf9e1426,016068, 49-241-31-002,1480 S FENTON ST,"$1,513.36",Bids,1628,1629,,PTW
560914e4d4c68c50bf9e1427,016197, 49-242-01-005,1145 S HARLAN ST,"$1,785.10",Bids,1920,1921,,PTW
560914e4d4c68c50bf9e1428,016562, 49-241-22-004,1347 S CHASE ST,"$1,904.96",Bids,2049,2050,,PTW
560914e4d4c68c50bf9e1429,016727, 49-241-07-005,1145 S GRAY ST,"$1,704.38",Bids,1833,1834,,PTW
560914e4d4c68c50bf9e142a,016840, 49-244-04-003,1521 S CHASE ST,"$1,004.14",Bids,1080,1081,,PTW
560914e4d4c68c50bf9e142b,016919, 49-244-13-003,1674 S CHASE CT,"$1,484.68",Bids,1597,1598,,PTW
560914e4d4c68c50bf9e142c,016983, 49-174-22-018,12271 W MISSISSIPPI AVE,$997.17,Bids,1081.98,1082.98,,PTW
560914e4d4c68c50bf9e142d,017132, 49-171-02-017,481 S SWADLEY ST,$622.51,Bids,670,671,,PTW
560914e4d4c68c50bf9e142e,017181, 49-171-13-010,12066 W VIRGINIA PL,"$1,689.62",Bids,1815.9,1816.9,,PTW
560914e4d4c68c50bf9e142f,017337, 29-341-01-060,7861 EVERETT WAY,"$2,055.93",Bids,2211,2212,,PTW
560914e4d4c68c50bf9e1430,017338, 49-172-07-026,616 S XENON CT,"$1,035.35",Bids,1114,1115,,PTW
560914e4d4c68c50bf9e1431,017348, 49-171-09-022,12059 W DAKOTA DR,$942.80,Bids,1015,1016,,PTW
560914e4d4c68c50bf9e1432,017382, 49-174-16-010,12335 W OHIO CIR,"$1,856.29",Bids,1997,1998,,PTW
560914e4d4c68c50bf9e1433,017419, 49-201-18-004,12064 W MARYLAND DR,"$1,875.16",Bids,2017,2018,,PTW
560914e4d4c68c50bf9e1434,017783, 49-174-14-014,12294 W OHIO PL,$942.80,Bids,1015,1016,,PTW
560914e4d4c68c50bf9e1435,018211, 49-174-10-013,963 S SIMMS ST,"$1,836.26",Bids,1975,1976,,PTW
